siteID,Park,xcoord,ycoord,mdcaty,panel,wgt,lake_id,lake_area,lake_perim
S237-Out,SEKI,345124.936,4096564.001,5,OverSamp,24.2,10178,11071.4,402
S238-Out,SEKI,360899.7555,4034519.011,2,OverSamp,4.846153846,20379,120546,1372
S239-Out,SEKI,353896.4426,4050821.656,3,OverSamp,21.45454545,20261,22905.5,601
S240-Out,SEKI,373378.2989,4073760.019,3,OverSamp,21.45454545,10424,10994.5,412
S241-Out,SEKI,364467.7421,4097067.389,6,OverSamp,21.33333333,10238,19079.9,778
S242-Out,SEKI,352407.4783,4107810.952,4,OverSamp,24.57142857,10135,64278.1,1289
S243-Out,SEKI,385719.0409,4042510.308,3,OverSamp,21.45454545,20071,51051.2,945
S244-Out,SEKI,366442.6584,4061783.744,6,OverSamp,21.33333333,10624,150853,1842
S245-Out,SEKI,361662.2805,4105556.053,2,OverSamp,4.846153846,10210,16735.6,716
S246-Out,SEKI,354991.8778,4031204.102,1,OverSamp,2.8,20040,33516.1,1149
S247-Out,SEKI,360017.7561,4056736.768,5,OverSamp,24.2,10657,22244,672
S248-Out,SEKI,373256.9004,4064430.469,4,OverSamp,24.57142857,10598,16377.9,468
S249-Out,SEKI,350305.6033,4116960.743,2,OverSamp,4.846153846,10043,20119.4,606
S250-Out,SEKI,357000.3795,4079125.785,2,OverSamp,4.846153846,10457,21555,647
S251-Out,SEKI,378212.5871,4050513.193,4,OverSamp,24.57142857,20111,19694,610
S252-Out,SEKI,360526.5367,4083028.437,3,OverSamp,21.45454545,10553,47186.9,944
S253-Out,SEKI,346495.3824,4112918.328,3,OverSamp,21.45454545,10060,33432.3,1138
S254-Out,SEKI,365750.2086,4037719.338,2,OverSamp,4.846153846,20365,11318.9,406
S255-Out,SEKI,349326.7133,4057470.111,2,OverSamp,4.846153846,10680,16071,531
S256-Out,SEKI,373223.6486,4077205.463,3,OverSamp,21.45454545,10402,53836.5,2023
S257-Out,SEKI,365268.9644,4094932.539,4,OverSamp,24.57142857,10491,11554.3,435
S258-Out,SEKI,356379.3765,4111258.543,3,OverSamp,21.45454545,10509,21938.2,837
S259-Out,SEKI,383125.1053,4043141.539,4,OverSamp,24.57142857,20314,47804.7,964
S260-Out,SEKI,368462.111,4059892.229,5,OverSamp,24.2,10608,15227.1,481
S261-Out,SEKI,361545.3286,4105833.928,2,OverSamp,4.846153846,10211,20362.2,1022
S262-Out,SEKI,356637.6721,4028715.268,2,OverSamp,4.846153846,20036,18005.6,558
S263-Out,SEKI,364720.1516,4054696.706,5,OverSamp,24.2,10651,88374.1,1807
S264-Out,SEKI,372732.2359,4061582.776,5,OverSamp,24.2,20226,30109.5,869
S265-Out,SEKI,349921.2741,4116914.856,2,OverSamp,4.846153846,10042,84376.6,1497
S266-Out,SEKI,349312.64,4083945.014,4,OverSamp,24.57142857,10586,20573.2,533
S267-Out,SEKI,354516.3957,4032387.729,1,OverSamp,2.8,20044,11777.7,512
S268-Out,SEKI,368201.8424,4085988.556,4,OverSamp,24.57142857,10692,10354.9,707
S269-Out,SEKI,348342.7387,4111134.012,3,OverSamp,21.45454545,10068,13029.9,528
S270-Out,SEKI,362497.9396,4037722.019,3,OverSamp,21.45454545,20373,28717.4,860
S271-Out,SEKI,349450.6937,4056742.633,2,OverSamp,4.846153846,10679,32282.1,926
S272-Out,SEKI,376376.4724,4073663.315,3,OverSamp,21.45454545,10434,95529.8,1378
Y001-Out,YOSE,303562.8931,4190559.064,1,Panel_1,10.2,70579,57209,1084
Y002-Out,YOSE,299668.8782,4200048.474,1,Panel_1,10.2,70592,64913,1365
Y003-Out,YOSE,277537.7605,4197878.359,2,Panel_1,7.714285714,70415,22664,628
Y004-Out,YOSE,289840.5135,4168926.525,4,Panel_2,15.75,70719,163118,2131
Y005-Out,YOSE,271742.5597,4220597.887,6,Panel_2,26.5,70672,585640,8002
Y006-Out,YOSE,296669.2441,4187239.799,2,Panel_2,7.714285714,70397,20613,655
Y007-Out,YOSE,270111.0932,4210333.144,6,Panel_2,26.5,70434,24199,898
Y008-Out,YOSE,287720.935,4173369.802,6,Panel_2,26.5,70477,29353,781
Y009-Out,YOSE,256788.8912,4214475.083,5,Panel_2,16,70607,78422,1444
Y010-Out,YOSE,283456.5069,4189939.05,1,Panel_3,10.2,70674,719904,4292
Y011-Out,YOSE,274831.1406,4207034.236,4,Panel_3,15.75,70547,46606,1196
Y012-Out,YOSE,300193.7867,4181260.416,3,Panel_3,11,70315,14621,511
Y013-Out,YOSE,262312.3997,4211474.271,3,Panel_3,11,70288,13013,498
Y014-Out,YOSE,279261.7465,4196424.295,3,Panel_3,11,70276,12529,432
Y015-Out,YOSE,292902.0368,4207218.864,4,Panel_3,15.75,70255,11244,431
Y016-Out,YOSE,274920.6847,4167212.315,2,Panel_4,7.714285714,70631,105842,1306
Y017-Out,YOSE,302942.3834,4189358.42,2,Panel_4,7.714285714,70561,50070,1061
Y018-Out,YOSE,299007.2238,4198197.272,1,Panel_4,10.2,70527,41486,1019
Y019-Out,YOSE,263836.1703,4214915.614,5,Panel_4,16,70625,101622,1387
Y020-Out,YOSE,285535.2345,4171995.526,3,Panel_4,11,70274,12457,410
Y021-Out,YOSE,276861.8963,4221514.429,6,Panel_4,26.5,70629,103755,1481
Y022-Out,YOSE,292022.6008,4183728.665,2,Panel_5,7.714285714,70239,10618,474
Y023-Out,YOSE,280325.1682,4217173.418,3,Panel_5,11,70576,55976,1137
Y024-Out,YOSE,284330.7565,4174596.074,3,Panel_5,11,70712,10544,389
Y025-Out,YOSE,254690.6683,4218806.835,3,Panel_5,11,70399,21066,665
Y026-Out,YOSE,284111.0761,4186919.935,1,Panel_5,10.2,70464,27492,648
Y027-Out,YOSE,286575.5112,4202326.238,3,Panel_5,11,70449,26088,681
Y028-Out,YOSE,295857.9262,4180167.065,4,OverSamp,15.75,70347,16710,475
Y029-Out,YOSE,253614.4772,4215044.25,3,OverSamp,11,70595,69152,1328
Y030-Out,YOSE,278292.8364,4196943.47,2,OverSamp,7.714285714,70530,42048,834
Y031-Out,YOSE,294978.9375,4201228.474,2,OverSamp,7.714285714,70618,94037,1694
Y032-Out,YOSE,281792.6034,4165639.965,4,OverSamp,15.75,70531,42460,851
Y033-Out,YOSE,304634.9507,4187297.402,3,OverSamp,11,70293,13359,435
Y034-Out,YOSE,297076.3407,4184879.737,3,OverSamp,11,70669,429115,2552
